[2024-09-01T08:31:37.583+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2024-09-01T08:31:37.600+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:31:11+00:00 [queued]>
[2024-09-01T08:31:37.609+0000] {taskinstance.py:2603} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:31:11+00:00 [queued]>
[2024-09-01T08:31:37.609+0000] {taskinstance.py:2856} INFO - Starting attempt 1 of 1
[2024-09-01T08:31:37.622+0000] {taskinstance.py:2879} INFO - Executing <Task(PythonOperator): log_results> on 2024-09-01 08:31:11+00:00
[2024-09-01T08:31:37.632+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=105) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2024-09-01T08:31:37.634+0000] {standard_task_runner.py:72} INFO - Started process 107 to run task
[2024-09-01T08:31:37.634+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'nyc_airbnb_etl', 'log_results', 'manual__2024-09-01T08:31:11+00:00', '--job-id', '196', '--raw', '--subdir', 'DAGS_FOLDER/nyc_airbnb_etl.py', '--cfg-path', '/tmp/tmpxf9vg6uk']
[2024-09-01T08:31:37.635+0000] {standard_task_runner.py:105} INFO - Job 196: Subtask log_results
[2024-09-01T08:31:37.691+0000] {task_command.py:467} INFO - Running <TaskInstance: nyc_airbnb_etl.log_results manual__2024-09-01T08:31:11+00:00 [running]> on host b74353bc56c3
[2024-09-01T08:31:37.784+0000] {taskinstance.py:3122} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nyc_airbnb_etl' AIRFLOW_CTX_TASK_ID='log_results' AIRFLOW_CTX_EXECUTION_DATE='2024-09-01T08:31:11+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-09-01T08:31:11+00:00'
[2024-09-01T08:31:37.786+0000] {logging_mixin.py:190} INFO - Task instance is in running state
[2024-09-01T08:31:37.787+0000] {logging_mixin.py:190} INFO -  Previous state of the Task instance: queued
[2024-09-01T08:31:37.787+0000] {logging_mixin.py:190} INFO - Current task name:log_results state:running start_date:2024-09-01 08:31:37.601354+00:00
[2024-09-01T08:31:37.787+0000] {logging_mixin.py:190} INFO - Dag name:nyc_airbnb_etl and current dag run status:running
[2024-09-01T08:31:37.788+0000] {taskinstance.py:731} INFO - ::endgroup::
[2024-09-01T08:31:37.803+0000] {base.py:84} INFO - Retrieving connection 'test-connection'
[2024-09-01T08:31:37.810+0000] {sql.py:509} INFO - Running statement: SELECT * FROM information_schema.tables, parameters: None
[2024-09-01T08:31:37.846+0000] {sql.py:518} INFO - Rows affected: 243
[2024-09-01T08:31:37.849+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'airbnb_listings', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.851+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'log', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.852+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'dag_priority_parsing_request', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.853+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_statistic', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.854+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_type', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.855+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'job', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.856+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'slot_pool', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.856+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_foreign_table', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.857+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_authid', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.858+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_shadow', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.858+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'callback_request', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.859+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'dag_code', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.860+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_statistic_ext_data', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.860+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_roles', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.861+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'dag_pickle', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.862+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.862+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_file_settings', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.863+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_hba_file_rules', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.863+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_config', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.864+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_shmem_allocations', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.864+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'ab_user', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.865+0000] {logging_mixin.py:190} INFO - ('***_etl', 'public', 'ab_register_user', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.866+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_prepared_statements', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.867+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_largeobject', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.867+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_user_mapping', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.868+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_stat_progress_vacuum', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.869+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_replication_origin_status', 'VIEW', None, None, None, None, None, 'NO', 'NO', None)
[2024-09-01T08:31:37.870+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_subscription', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.870+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_attribute', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.871+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_proc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.871+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_class', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.872+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_attrdef', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.873+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_constraint', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.873+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_inherits', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.874+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_index', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.875+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_operator', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.875+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_opfamily', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.876+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_opclass', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.877+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_am', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.878+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_amop', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.878+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_amproc', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.879+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_language', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
[2024-09-01T08:31:37.880+0000] {logging_mixin.py:190} INFO - ('***_etl', 'pg_catalog', 'pg_largeobject_metadata', 'BASE TABLE', None, None, None, None, None, 'YES', 'NO', None)
